team,goals,passes,pressures,recoveries,goals_rank,passes_rank,pressures_rank,recoveries_rank
Spain,14,4335,1128,312,1,2,1,1
England,13,4540,886,294,2,1,2,2
Switzerland,11,2548,826,192,3,7,3,9
Germany,11,3402,707,215,3,5,7,4
Netherlands,9,3117,648,200,5,6,8,7
Portugal,9,3870,648,271,5,3,8,3
Turkey,8,2445,631,212,7,9,10,5
France,7,3453,807,212,8,4,4,5
Austria,6,2070,722,197,9,12,6,8
Georgia,4,1425,514,154,11,17,17,16
Slovakia,4,2006,533,172,11,13,15,10
Romania,4,1347,550,155,11,19,13,14
Italy,3,2503,588,155,14,8,11,14
Albania,3,1178,440,102,14,23,19,23
Czech Republic,3,1107,415,135,14,24,22,17
Poland,3,1190,472,112,14,22,18,20
Slovenia,2,1376,737,163,19,18,5,11
Belgium,2,2207,439,156,19,11,20,13
Ukraine,2,1491,419,102,19,16,21,23
Denmark,2,2361,561,159,19,10,12,12
Hungary,2,1226,529,105,19,21,16,22
Croatia,2,1785,546,126,19,14,14,18
Serbia,1,1676,387,123,23,15,24,19
Scotland,1,1232,411,106,23,20,23,21
